Institution,Conference,Goals,Assists,ShAtt,SoG,Fouls,RedCards,YellowCards,Corners,PK,PKAtt
Long Beach St.,Big West,37,42,269,142,185,1,18,104,4,5
Longwood,Big South,17,16,187,83,133,,7,68,,
Louisiana,Sun Belt,19,17,145,65,147,,12,72,,
Louisiana Tech,CUSA,35,26,216,111,162,2,21,80,4,6
Louisville,ACC,15,18,207,86,173,1,20,77,,
Loyola Chicago,Atlantic 10,20,16,245,120,200,,10,104,1,1
Loyola Maryland,Patriot,26,27,217,102,159,,9,73,2,2
LSU,SEC,31,31,278,119,230,,24,90,3,4
Maine,America East,37,26,248,122,209,1,12,98,2,2
Manhattan,MAAC,14,10,138,69,139,,16,38,2,2
Marist,MAAC,5,4,145,59,137,,15,67,,
Marquette,Big East,11,10,133,58,261,2,25,55,1,1
Marshall,Sun Belt,19,11,138,62,179,2,14,32,2,2
Maryland,Big Ten,9,4,180,77,137,1,15,65,1,1
Massachusetts,Atlantic 10,27,29,234,110,191,1,25,87,1,2
McNeese,Southland,31,21,198,111,182,1,20,60,4,4
Memphis,AAC,53,43,377,182,217,,28,162,2,3
Mercer,SoCon,42,42,346,162,210,,16,138,2,3
Merrimack,NEC,36,35,298,153,182,1,11,114,1,3
Miami (FL),ACC,11,11,73,36,113,2,13,32,,
Miami (OH),MAC,17,16,244,100,252,,17,113,,
Michigan,Big Ten,21,22,210,79,176,,14,67,1,1
Michigan St.,Big Ten,50,44,363,149,268,,20,150,6,6
Middle Tenn.,CUSA,31,28,232,109,161,,21,76,1,2
Milwaukee,Horizon,47,45,315,161,174,,9,97,6,7
Minnesota,Big Ten,26,24,264,103,145,2,7,119,1,3
Mississippi St.,SEC,26,21,280,118,235,1,19,99,3,3
Mississippi Val.,SWAC,13,8,146,89,128,,10,43,1,2
Missouri,SEC,26,18,186,94,141,2,5,59,2,2
Missouri St.,MVC,30,36,264,141,182,,9,85,,
Monmouth,CAA,28,26,266,128,153,,6,86,,2
Montana,Big Sky,33,28,308,138,179,,9,63,4,4
Morehead St.,OVC,23,24,233,103,194,1,21,76,2,3
Mount St. Mary's,MAAC,13,11,170,86,180,1,18,73,2,3
Murray St.,MVC,18,14,222,98,197,2,23,68,1,1
Navy,Patriot,40,39,278,125,163,,12,89,2,3
NC State,ACC,16,16,150,61,158,2,23,53,2,2
Nebraska,Big Ten,67,74,445,209,279,,19,155,2,2
Nevada,Mountain West,24,18,211,106,205,1,20,92,2,4
New Hampshire,America East,17,17,225,102,149,,13,73,,
New Mexico,Mountain West,20,15,277,111,149,1,19,64,1,1
New Mexico St.,CUSA,28,24,211,99,225,1,22,81,1,1
Niagara,MAAC,21,15,242,110,171,,14,61,3,4
Nicholls,Southland,10,5,133,66,224,1,31,39,1,3
NIU,MAC,17,8,217,106,207,1,18,88,2,2
NJIT,America East,26,24,250,108,237,1,19,84,1,1
North Ala.,ASUN,21,24,275,121,213,,21,143,,
North Carolina,ACC,45,37,428,182,182,,10,150,1,3
North Dakota,Summit League,21,22,192,83,195,,21,69,2,2
North Dakota St.,Summit League,19,18,224,112,180,1,26,69,,2
North Florida,ASUN,16,18,238,106,183,1,15,66,2,4
North Texas,AAC,37,29,254,118,134,,12,63,3,4
