URL,Institution,Conference,Games,Goals,Assists,ShAtt,SoG,Fouls,Red Cards,Yellow Cards,Corners,PK,PK Att,GWG
https://stats.ncaa.org/team/469/stats/16641,Niagara,MAAC,2,3,2,8,37,20,13,,3,14,,
https://stats.ncaa.org/team/473/stats/16641,Nicholls,Southland,2,,,0,9,4,12,,,2,,
https://stats.ncaa.org/team/472/stats/16641,NIU,MAC,1,,,0,10,7,12,,2,6,,
https://stats.ncaa.org/team/482/stats/16641,NJIT,America East,1,,,0,8,4,11,,1,5,,
https://stats.ncaa.org/team/483/stats/16641,North Ala.,ASUN,2,1,1,3,15,8,20,,1,10,,
https://stats.ncaa.org/team/487/stats/16641,North Carolina,ACC,2,5,4,14,42,18,11,,1,5,,
https://stats.ncaa.org/team/457/stats/16641,North Dakota,Summit League,1,1,1,3,19,12,12,,1,4,,
https://stats.ncaa.org/team/494/stats/16641,North Dakota St.,Summit League,2,3,3,9,52,20,35,,1,6,,
https://stats.ncaa.org/team/493/stats/16641,North Florida,ASUN,2,1,1,3,8,5,13,,2,3,,
https://stats.ncaa.org/team/2711/stats/16641,North Texas,AAC,2,1,2,4,19,11,25,,5,7,,
https://stats.ncaa.org/team/497/stats/16641,Northeastern,CAA,1,1,,2,8,3,11,,2,,,1
https://stats.ncaa.org/team/500/stats/16641,Northern Ariz.,Big Sky,1,1,1,3,9,5,3,,,4,,
https://stats.ncaa.org/team/501/stats/16641,Northern Colo.,Big Sky,1,,,0,3,1,9,,1,3,,
https://stats.ncaa.org/team/502/stats/16641,Northern Ky.,Horizon,1,,,0,10,6,10,,,1,,
https://stats.ncaa.org/team/505/stats/16641,Northwestern,Big Ten,2,3,1,7,23,11,14,,3,6,,
https://stats.ncaa.org/team/509/stats/16641,Northwestern St.,Southland,2,,,0,6,1,16,,3,3,,
https://stats.ncaa.org/team/508/stats/16641,Notre Dame,ACC,2,7,7,21,42,19,21,,1,8,,
https://stats.ncaa.org/team/513/stats/16641,Oakland,Horizon,1,,,0,5,1,5,,,4,,
https://stats.ncaa.org/team/514/stats/16641,Ohio,MAC,1,1,,2,9,5,7,,,3,,
https://stats.ncaa.org/team/519/stats/16641,Ohio St.,Big Ten,1,1,,2,9,3,7,,,,,
https://stats.ncaa.org/team/518/stats/16641,Oklahoma,SEC,2,3,2,8,24,8,26,,,14,,
https://stats.ncaa.org/team/522/stats/16641,Oklahoma St.,Big 12,2,3,5,11,47,20,29,,1,9,,
https://stats.ncaa.org/team/521/stats/16641,Old Dominion,Sun Belt,2,2,1,5,21,13,10,,2,9,,
https://stats.ncaa.org/team/523/stats/16641,Ole Miss,SEC,1,4,2,10,33,16,11,,1,6,,
https://stats.ncaa.org/team/433/stats/16641,Omaha,Summit League,2,3,4,10,21,10,13,,,17,,
https://stats.ncaa.org/team/464/stats/16641,Oral Roberts,Summit League,2,1,1,3,14,6,20,,7,7,,1
https://stats.ncaa.org/team/527/stats/16641,Oregon,Big Ten,2,3,4,10,41,20,18,,1,11,,
https://stats.ncaa.org/team/529/stats/16641,Oregon St.,WCC,1,,,0,6,1,10,,1,5,,
https://stats.ncaa.org/team/528/stats/16641,Pacific,WCC,2,2,2,6,13,3,16,1,2,4,,
https://stats.ncaa.org/team/534/stats/16641,Penn St.,Big Ten,1,4,2,10,16,8,10,,,7,1,1
https://stats.ncaa.org/team/539/stats/16641,Pepperdine,WCC,2,2,2,6,19,11,13,,,6,,1
https://stats.ncaa.org/team/541/stats/16641,Pittsburgh,ACC,2,2,2,6,40,16,15,,1,16,,
https://stats.ncaa.org/team/545/stats/16641,Portland,WCC,2,8,4,20,30,15,12,,1,17,1,1
https://stats.ncaa.org/team/551/stats/16641,Portland St.,Big Sky,2,1,1,3,22,4,18,,1,6,,
