season,team,team_id,full_name,roster_name,first_name,last_name,yr,pos,number,ht,gp,gs,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,gwg
2025,Army West Point Black Knights,725,Curtis Boozer,Curtis Boozer,Curtis,Boozer,So,D,24,61,14,6,NA,NA,2,NA,3,NA,1,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Kai Thomas,Kai Thomas,Kai,Thomas,So,M,20,510,14,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Justice Willis,Justice Willis,Justice,Willis,Fr,M,31,59,13,8,NA,NA,2,NA,6,NA,3,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Jacob Lee,Jacob Lee,Jacob,Lee,Sr,F,14,59,12,2,NA,NA,4,NA,10,NA,1,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Eric Lusskin,Eric Lusskin,Eric,Lusskin,Sr,M,4,61,12,6,1,1,6,2,2,NA,1,NA,NA,NA,1
2025,Army West Point Black Knights,725,Owen Ennis,Owen Ennis,Owen,Ennis,Jr,D,3,510,11,11,NA,2,7,3,3,1,1,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Brantley Wigginton,Brantley Wigginton,Brantley,Wigginton,Fr,M,26,60,9,0,NA,NA,6,4,3,NA,1,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Jacob Nguyen,Jacob Nguyen,Jacob,Nguyen,Fr,F,12,59,8,7,NA,1,3,1,5,NA,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Colin McCarthy,Colin McCarthy,Colin,McCarthy,Jr,M,6,58,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Jack Drabenstott,Jack Drabenstott,Jack,Drabenstott,Sr,F,9,60,3,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Blair Camargo,Blair Camargo,Blair,Camargo,So,GK,0,60,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Collin Gilbert,Collin Gilbert,Collin,Gilbert,Fr,GK,0,67,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Niko Kapustin,Niko Kapustin,Niko,Kapustin,Sr,D,15,62,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Liam Tucker,Liam Tucker,Liam,Tucker,So,D,27,59,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Theo Harzbecker,Theo Harzbecker,Theo,Harzbecker,Fr,D,30,62,2,0,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Daniel Gormley,Daniel Gormley,Daniel,Gormley,Jr,D,25,62,2,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Owen Mejia,Owen Mejia,Owen,Mejia,Jr,D,13,62,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Army West Point Black Knights,725,Andrew Kim,Andrew Kim,Andrew,Kim,So,D,33,60,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,Alex Halevy,Alex Halevy,Alex,Halevy,Jr,F,9,62,16,9,1,1,12,6,7,NA,NA,NA,NA,NA,1
2025,Bellarmine Knights,52,Tate McCrery,Tate McCrery,Tate,McCrery,Jr,M,12,62,16,16,2,NA,18,8,4,NA,1,NA,NA,NA,1
2025,Bellarmine Knights,52,Nick Harshaw,Nick Harshaw,Nick,Harshaw,So,M,29,59,16,15,4,5,15,9,12,NA,NA,NA,NA,NA,1
2025,Bellarmine Knights,52,Rhys Davies,Rhys Davies,Rhys,Davies,Sr,D,4,61,16,16,2,1,7,4,9,NA,NA,NA,2,2,NA
2025,Bellarmine Knights,52,Johan Nissen-Lie,Johan Nissen-Lie,Johan,Nissen-Lie,So,F,11,63,16,16,9,NA,47,21,15,NA,1,NA,2,2,1
2025,Bellarmine Knights,52,Collin Folds,Collin Folds,Collin,Folds,Sr,M,31,61,16,6,1,NA,3,1,7,NA,1,NA,NA,NA,1
2025,Bellarmine Knights,52,Colin Mackey,Colin Mackey,Colin,Mackey,Jr,,3,511,16,0,2,2,5,3,6,NA,1,NA,NA,NA,NA
2025,Bellarmine Knights,52,Sam Safly,Sam Safly,Sam,Safly,So,D,27,63,16,15,NA,2,NA,NA,3,NA,1,NA,NA,NA,NA
2025,Bellarmine Knights,52,Peter Van Euwen,Peter Van Euwen,Peter,Van Euwen,Sr,GK,0,511,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,Teddy Franke,Teddy Franke,Teddy,Franke,So,F,33,62,16,0,1,1,13,5,8,NA,2,NA,NA,NA,NA
2025,Bellarmine Knights,52,Brendan Schoemehl,Brendan Schoemehl,Brendan,Schoemehl,Sr,M,8,61,15,10,2,4,10,5,17,NA,1,NA,NA,NA,1
2025,Bellarmine Knights,52,Jeffrey Cox,Jeffrey Cox,Jeffrey,Cox,Jr,D,20,62,15,15,NA,3,9,1,7,NA,NA,NA,NA,NA,NA
2025,Bellarmine Knights,52,Cade Morgan,Cade Morgan,Cade,Morgan,Jr,M,2,510,15,15,1,1,27,5,16,NA,4,NA,NA,NA,NA
