rank,institution,conference,past_wins,past_losses,past_ties,past_pct,future_wins,future_losses,future_ties,future_pct,cumulative_wins,cumulative_losses,cumulative_ties,cumulative_pct
154,Longwood,Big South,104,112,63,0.486,0,0,0,0.000,104,112,63,0.486
155,Quinnipiac,MAAC,103,111,74,0.486,0,0,0,0.000,103,111,74,0.486
156,La Salle,Atlantic 10,102,111,77,0.484,0,0,0,0.000,102,111,77,0.484
157,Drake,MVC,97,106,68,0.483,0,0,0,0.000,97,106,68,0.483
158,St. Thomas (MN),Summit League,109,119,66,0.483,0,0,0,0.000,109,119,66,0.483
159,Saint Joseph's,Atlantic 10,108,118,72,0.483,0,0,0,0.000,108,118,72,0.483
160,Mount St. Mary's,MAAC,101,111,60,0.482,0,0,0,0.000,101,111,60,0.482
161,Rider,MAAC,101,111,70,0.482,0,0,0,0.000,101,111,70,0.482
162,Penn,Ivy League,100,110,58,0.481,0,0,0,0.000,100,110,58,0.481
163,Northern Ky.,Horizon,94,105,67,0.479,0,0,0,0.000,94,105,67,0.479
164,UIW,OVC,106,119,58,0.477,0,0,0,0.000,106,119,58,0.477
165,Utah Tech,WAC,107,121,64,0.476,0,0,0,0.000,107,121,64,0.476
166,Le Moyne,NEC,113,127,50,0.476,0,0,0,0.000,113,127,50,0.476
167,Manhattan,MAAC,99,112,57,0.476,0,0,0,0.000,99,112,57,0.476
168,Oakland,Horizon,106,120,71,0.476,0,0,0,0.000,106,120,71,0.476
169,Georgia St.,Sun Belt,115,130,60,0.475,0,0,0,0.000,115,130,60,0.475
170,Radford,Big South,107,122,65,0.474,0,0,0,0.000,107,122,65,0.474
171,UAB,American,88,101,56,0.473,0,0,0,0.000,88,101,56,0.473
172,Cal Poly,Big West,117,136,92,0.472,0,0,0,0.000,117,136,92,0.472
173,Milwaukee,Horizon,113,131,66,0.471,0,0,0,0.000,113,131,66,0.471
174,St. Bonaventure,Atlantic 10,88,102,54,0.471,0,0,0,0.000,88,102,54,0.471
175,Saint Francis,NEC,104,121,67,0.471,0,0,0,0.000,104,121,67,0.471
176,George Washington,Atlantic 10,93,110,75,0.469,0,0,0,0.000,93,110,75,0.469
177,Cal St. Fullerton,Big West,116,139,91,0.467,0,0,0,0.000,116,139,91,0.467
178,Belmont,MVC,93,112,75,0.466,0,0,0,0.000,93,112,75,0.466
179,Utah Valley,WAC,87,104,62,0.466,0,0,0,0.000,87,104,62,0.466
180,Duquesne,Atlantic 10,97,116,57,0.465,0,0,0,0.000,97,116,57,0.465
181,Bellarmine,ASUN,91,111,67,0.463,0,0,0,0.000,91,111,67,0.463
182,Houston Christian,OVC,106,131,73,0.460,0,0,0,0.000,106,131,73,0.460
183,Chicago St.,NEC,99,123,67,0.458,0,0,0,0.000,99,123,67,0.458
184,Holy Cross,Patriot,103,128,68,0.458,0,0,0,0.000,103,128,68,0.458
185,UNC Asheville,Big South,95,118,59,0.458,0,0,0,0.000,95,118,59,0.458
186,UC Riverside,Big West,95,120,78,0.457,0,0,0,0.000,95,120,78,0.457
187,Green Bay,Horizon,95,122,81,0.455,0,0,0,0.000,95,122,81,0.455
188,Detroit Mercy,Horizon,101,129,72,0.454,0,0,0,0.000,101,129,72,0.454
189,CSUN,Big West,102,133,82,0.451,0,0,0,0.000,102,133,82,0.451
190,LIU,NEC,109,140,53,0.449,0,0,0,0.000,109,140,53,0.449
191,Lindenwood,OVC,119,155,71,0.448,0,0,0,0.000,119,155,71,0.448
192,UMBC,America East,95,125,59,0.446,0,0,0,0.000,95,125,59,0.446
193,Queens (NC),ASUN,97,127,54,0.446,0,0,0,0.000,97,127,54,0.446
194,Campbell,CAA,99,133,80,0.446,0,0,0,0.000,99,133,80,0.446
195,FDU,NEC,115,152,76,0.446,0,0,0,0.000,115,152,76,0.446
196,Saint Peter's,MAAC,89,118,55,0.445,0,0,0,0.000,89,118,55,0.445
197,Robert Morris,Horizon,93,124,60,0.444,0,0,0,0.000,93,124,60,0.444
198,Winthrop,Big South,89,119,56,0.443,0,0,0,0.000,89,119,56,0.443
199,UIC,MVC,91,125,79,0.442,0,0,0,0.000,91,125,79,0.442
200,Niagara,MAAC,81,111,63,0.441,0,0,0,0.000,81,111,63,0.441
201,IU Indy,Horizon,89,123,72,0.440,0,0,0,0.000,89,123,72,0.440
202,Stonehill,NEC,97,133,69,0.440,0,0,0,0.000,97,133,69,0.440
203,Canisius,MAAC,82,117,57,0.432,0,0,0,0.000,82,117,57,0.432
204,Liberty,OVC,107,155,72,0.428,0,0,0,0.000,107,155,72,0.428
205,Merrimack,MAAC,82,121,53,0.424,0,0,0,0.000,82,121,53,0.424
206,VMI,SoCon,99,148,65,0.421,0,0,0,0.000,99,148,65,0.421
207,Iona,MAAC,93,139,56,0.420,0,0,0,0.000,93,139,56,0.420
208,Purdue Fort Wayne,Horizon,77,126,73,0.411,0,0,0,0.000,77,126,73,0.411
209,Howard,NEC,90,144,62,0.409,0,0,0,0.000,90,144,62,0.409
210,Navy,Patriot,90,145,64,0.408,0,0,0,0.000,90,145,64,0.408
211,Mercyhurst,NEC,84,137,58,0.405,0,0,0,0.000,84,137,58,0.405
212,Central Conn. St.,NEC,81,146,57,0.386,0,0,0,0.000,81,146,57,0.386
213,New Haven,NEC,79,143,39,0.377,0,0,0,0.000,79,143,39,0.377
