date,team,opponent,home_away,outcome,team_score,opponent_score,overtime,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,corners,pk,pk_att,defensive_goals,defensive_assists,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_corners,defensive_pk,defensive_pk_att,team_id
2021-08-26,Bucknell Bison,North Carolina,Away,Loss,0,7,,,,2.0,2.0,17.0,,3.0,,,,7.0,5.0,24.0,14.0,8.0,,1.0,12.0,1.0,1.0,83
2021-08-29,Bucknell Bison,Wake Forest,Away,Loss,0,2,,,,2.0,,14.0,,1.0,,,,2.0,4.0,16.0,10.0,13.0,,1.0,6.0,,,83
2021-09-04,Bucknell Bison,Saint Peter's,Away,Loss,1,2,2,1.0,1.0,12.0,5.0,18.0,,3.0,5.0,,,2.0,2.0,22.0,6.0,10.0,,2.0,9.0,1.0,1.0,83
2021-09-10,Bucknell Bison,Mount St. Mary's,Away,Win,2,1,,2.0,1.0,13.0,4.0,12.0,,1.0,8.0,,,1.0,1.0,7.0,2.0,6.0,,1.0,1.0,,,83
2021-09-12,Bucknell Bison,St. Bonaventure,Home,Win,2,1,,2.0,2.0,21.0,9.0,11.0,,,5.0,,,1.0,1.0,5.0,2.0,9.0,,,2.0,,,83
2021-09-15,Bucknell Bison,Saint Francis,Away,Loss,1,2,,1.0,1.0,12.0,7.0,12.0,,2.0,8.0,,,2.0,1.0,10.0,7.0,9.0,,,1.0,1.0,2.0,83
2021-09-18,Bucknell Bison,Lafayette,Away,Draw,0,0,2,,,6.0,3.0,11.0,,2.0,4.0,,,,,15.0,5.0,10.0,,2.0,9.0,,,83
2021-09-25,Bucknell Bison,Army West Point,Home,Loss,1,2,,1.0,1.0,14.0,4.0,5.0,,1.0,8.0,,,2.0,1.0,14.0,5.0,19.0,,1.0,7.0,,,83
2021-09-29,Bucknell Bison,Lehigh,Away,Win,1,0,1,1.0,2.0,10.0,3.0,11.0,,1.0,2.0,,,,,8.0,2.0,5.0,,,3.0,,,83
2021-10-02,Bucknell Bison,American,Home,Loss,1,2,1,1.0,1.0,8.0,4.0,16.0,,2.0,1.0,,,2.0,2.0,13.0,8.0,10.0,,,9.0,,,83
2021-10-05,Bucknell Bison,Binghamton,Away,Draw,1,1,2,1.0,1.0,7.0,4.0,10.0,,1.0,3.0,,,1.0,1.0,15.0,4.0,7.0,,2.0,5.0,,,83
2021-10-09,Bucknell Bison,Colgate,Away,Win,1,0,,1.0,,7.0,1.0,9.0,2.0,,2.0,1.0,1.0,,,6.0,4.0,9.0,1.0,3.0,3.0,,,83
2021-10-11,Bucknell Bison,Syracuse,Home,Loss,0,4,,,,5.0,1.0,5.0,,,2.0,,,4.0,4.0,13.0,8.0,8.0,,,8.0,1.0,1.0,83
2021-10-16,Bucknell Bison,Holy Cross,Away,Loss,1,4,,1.0,,6.0,4.0,7.0,,1.0,3.0,,,4.0,6.0,18.0,7.0,7.0,1.0,,6.0,,,83
2021-10-23,Bucknell Bison,Boston U.,Home,Draw,0,0,2,,,12.0,6.0,15.0,1.0,2.0,6.0,,,,,16.0,1.0,10.0,,2.0,9.0,,,83
2021-10-31,Bucknell Bison,Navy,Away,Loss,0,1,,,,8.0,1.0,12.0,1.0,1.0,2.0,,,1.0,1.0,12.0,5.0,6.0,,,7.0,,,83
2021-11-03,Bucknell Bison,Loyola Maryland,Home,Loss,0,1,,,,6.0,1.0,12.0,,1.0,3.0,,,1.0,1.0,10.0,5.0,12.0,,2.0,7.0,,,83
2021-08-26,Butler Bulldogs,Oakland,Home,Draw,0,0,2,,,15.0,3.0,9.0,1.0,,18.0,,1.0,,,8.0,1.0,9.0,,2.0,9.0,,,87
2021-08-31,Butler Bulldogs,Indiana,Away,Loss,0,1,,,,7.0,3.0,9.0,,2.0,3.0,,,1.0,,15.0,5.0,13.0,,1.0,2.0,,,87
2021-09-03,Butler Bulldogs,Milwaukee,Home,Win,2,1,,2.0,3.0,13.0,3.0,9.0,,4.0,4.0,,,1.0,1.0,7.0,2.0,10.0,,2.0,1.0,,,87
2021-09-06,Butler Bulldogs,Western Mich.,Away,Loss,0,2,,,,10.0,,13.0,,4.0,7.0,,,2.0,2.0,14.0,5.0,16.0,,3.0,7.0,,,87
2021-09-10,Butler Bulldogs,Wisconsin,Away,Loss,0,1,,,,10.0,5.0,6.0,,,5.0,,,1.0,1.0,13.0,4.0,11.0,,2.0,6.0,,,87
2021-09-18,Butler Bulldogs,UConn,Home,Win,1,0,,1.0,1.0,4.0,1.0,7.0,,4.0,3.0,,,,,8.0,1.0,16.0,,2.0,4.0,,,87
2021-09-21,Butler Bulldogs,Lipscomb,Home,Win,3,1,,3.0,4.0,19.0,10.0,12.0,,,6.0,,,1.0,,10.0,4.0,14.0,,2.0,5.0,,,87
2021-09-25,Butler Bulldogs,Villanova,Away,Loss,0,1,,,,25.0,4.0,8.0,,,8.0,,,1.0,1.0,7.0,4.0,12.0,,,4.0,,,87
2021-09-29,Butler Bulldogs,Marshall,Away,Loss,0,2,,,,9.0,4.0,8.0,,,,,,2.0,4.0,11.0,6.0,10.0,,2.0,3.0,,,87
2021-10-09,Butler Bulldogs,Georgetown,Away,Loss,0,1,,,,7.0,2.0,10.0,,1.0,1.0,,,1.0,,14.0,5.0,8.0,,,11.0,,,87
2021-10-13,Butler Bulldogs,Xavier,Away,Win,2,1,,2.0,1.0,11.0,5.0,12.0,,,2.0,1.0,1.0,1.0,,12.0,6.0,9.0,,1.0,4.0,,,87
2021-10-16,Butler Bulldogs,Providence,Home,Win,2,1,,2.0,2.0,10.0,4.0,13.0,,3.0,3.0,,,1.0,,13.0,5.0,14.0,,3.0,6.0,,,87
2021-10-20,Butler Bulldogs,Marquette,Home,Win,2,1,2,2.0,3.0,16.0,8.0,10.0,,6.0,6.0,,,1.0,1.0,15.0,7.0,19.0,1.0,6.0,9.0,,,87
2021-10-23,Butler Bulldogs,DePaul,Away,Draw,0,0,2,,,20.0,8.0,16.0,,1.0,7.0,,,,,10.0,2.0,9.0,,5.0,10.0,,,87
2021-10-27,Butler Bulldogs,Seton Hall,Home,Loss,2,3,,2.0,2.0,20.0,7.0,11.0,,,3.0,,,3.0,3.0,11.0,6.0,16.0,,3.0,4.0,,,87
2021-10-30,Butler Bulldogs,Creighton,Home,Loss,0,2,,,,10.0,2.0,9.0,,,2.0,,,2.0,2.0,19.0,6.0,15.0,,1.0,9.0,,1.0,87
2021-11-03,Butler Bulldogs,St. John's (NY),Away,Win,1,0,1,1.0,2.0,14.0,7.0,12.0,,,3.0,,,,,14.0,6.0,18.0,,1.0,8.0,,,87
2021-11-06,Butler Bulldogs,St. John's (NY),Away,Draw,0,0,3,,,8.0,4.0,15.0,1.0,3.0,2.0,,,,,15.0,5.0,25.0,,3.0,10.0,,,87
2021-11-11,Butler Bulldogs,Providence,Home,Loss,0,2,,,,8.0,3.0,9.0,,1.0,5.0,,1.0,2.0,2.0,9.0,4.0,18.0,,1.0,3.0,,,87
2021-08-26,CSU Bakersfield Roadrunners,San Jose St.,Home,Loss,1,2,,1.0,,9.0,2.0,18.0,,1.0,7.0,1.0,1.0,2.0,1.0,15.0,4.0,11.0,,,2.0,,,94
2021-08-29,CSU Bakersfield Roadrunners,Grand Canyon,Away,Loss,1,2,,1.0,,21.0,9.0,12.0,,2.0,4.0,1.0,1.0,2.0,4.0,9.0,4.0,15.0,1.0,4.0,2.0,,,94
2021-09-02,CSU Bakersfield Roadrunners,California Baptist,Home,Draw,1,1,2,1.0,1.0,17.0,3.0,19.0,,2.0,8.0,,,1.0,1.0,15.0,4.0,13.0,1.0,2.0,3.0,,,94
2021-09-05,CSU Bakersfield Roadrunners,Pacific,Home,Loss,2,4,,2.0,2.0,18.0,4.0,6.0,,,5.0,,,4.0,4.0,15.0,7.0,12.0,,2.0,4.0,,,94
2021-09-10,CSU Bakersfield Roadrunners,San Diego,Away,Loss,0,2,,,,14.0,3.0,11.0,,1.0,18.0,,,2.0,2.0,11.0,6.0,15.0,,3.0,4.0,1.0,1.0,94
2021-09-12,CSU Bakersfield Roadrunners,San Diego St.,Away,Loss,0,1,,,,11.0,1.0,14.0,1.0,5.0,1.0,,,1.0,1.0,7.0,1.0,18.0,,3.0,4.0,,,94
2021-09-17,CSU Bakersfield Roadrunners,Gonzaga,Away,Win,2,1,,2.0,1.0,14.0,7.0,17.0,,4.0,3.0,,,1.0,1.0,15.0,4.0,13.0,,1.0,6.0,,,94
2021-09-29,CSU Bakersfield Roadrunners,CSUN,Away,Win,4,3,,4.0,4.0,6.0,5.0,5.0,,1.0,3.0,,,3.0,1.0,21.0,9.0,14.0,1.0,1.0,4.0,,,94
2021-10-02,CSU Bakersfield Roadrunners,UC Riverside,Away,Loss,1,3,,1.0,,9.0,4.0,6.0,,1.0,2.0,,,3.0,3.0,11.0,5.0,4.0,,1.0,4.0,,,94
2021-10-06,CSU Bakersfield Roadrunners,Cal St. Fullerton,Home,Win,1,0,,1.0,,13.0,6.0,13.0,,1.0,3.0,1.0,1.0,,,21.0,7.0,13.0,,,3.0,,,94
2021-10-09,CSU Bakersfield Roadrunners,UC Santa Barbara,Away,Loss,0,3,,,,14.0,3.0,6.0,,2.0,6.0,,,3.0,2.0,15.0,4.0,9.0,,,4.0,,,94
2021-10-13,CSU Bakersfield Roadrunners,Sacramento St.,Away,Win,2,0,,2.0,1.0,9.0,8.0,11.0,,1.0,2.0,1.0,1.0,,,9.0,1.0,7.0,,3.0,3.0,,,94
2021-10-16,CSU Bakersfield Roadrunners,UC Irvine,Home,Loss,0,5,,,,11.0,4.0,10.0,,1.0,6.0,,,5.0,4.0,17.0,9.0,9.0,,1.0,6.0,,,94
2021-10-20,CSU Bakersfield Roadrunners,UC Davis,Home,Win,2,1,2,2.0,4.0,19.0,7.0,13.0,,5.0,12.0,,1.0,1.0,1.0,10.0,3.0,18.0,,3.0,8.0,,,94
2021-10-23,CSU Bakersfield Roadrunners,UC San Diego,Away,Win,2,0,,2.0,2.0,11.0,6.0,11.0,,2.0,3.0,,,,,12.0,6.0,13.0,,2.0,5.0,,,94
2021-10-30,CSU Bakersfield Roadrunners,Cal Poly,Home,Loss,0,2,,,,11.0,3.0,13.0,,3.0,7.0,,,2.0,2.0,12.0,6.0,17.0,1.0,3.0,2.0,,,94
2021-11-03,CSU Bakersfield Roadrunners,UC Davis,Home,Loss,1,3,,1.0,1.0,4.0,3.0,8.0,,2.0,4.0,,,3.0,3.0,19.0,10.0,15.0,,2.0,8.0,,,94
2021-08-26,CSUN Matadors,San Diego St.,Away,Loss,0,2,,,,9.0,2.0,18.0,,4.0,5.0,,,2.0,1.0,7.0,5.0,15.0,,2.0,5.0,1.0,1.0,101
2021-08-29,CSUN Matadors,Pacific,Home,Loss,1,2,,1.0,1.0,13.0,9.0,15.0,,3.0,4.0,,,2.0,1.0,7.0,4.0,14.0,,2.0,4.0,,,101
2021-09-02,CSUN Matadors,Utah Valley,Away,Loss,1,5,,1.0,,7.0,4.0,6.0,2.0,2.0,2.0,,,5.0,6.0,17.0,8.0,9.0,,2.0,9.0,,,101
2021-09-06,CSUN Matadors,UCLA,Away,Loss,0,4,,,,6.0,2.0,17.0,,5.0,3.0,,,4.0,6.0,14.0,7.0,8.0,,1.0,5.0,1.0,1.0,101
2021-09-09,CSUN Matadors,LMU (CA),Away,Loss,1,2,,1.0,,9.0,4.0,16.0,,1.0,6.0,,,2.0,4.0,20.0,6.0,8.0,,2.0,4.0,,,101
2021-09-12,CSUN Matadors,Omaha,Home,Loss,0,1,1,,,9.0,1.0,13.0,,2.0,4.0,,,1.0,1.0,10.0,7.0,8.0,,1.0,4.0,,,101
2021-09-17,CSUN Matadors,California Baptist,Home,Loss,0,1,,,,3.0,2.0,17.0,,2.0,4.0,,,1.0,1.0,10.0,3.0,9.0,1.0,3.0,4.0,,,101
2021-09-20,CSUN Matadors,Portland,Home,Win,1,0,1,1.0,,7.0,4.0,11.0,,3.0,6.0,,,,,8.0,2.0,11.0,1.0,2.0,3.0,,,101
2021-09-24,CSUN Matadors,Saint Mary's (CA),Away,Loss,1,3,,1.0,1.0,10.0,5.0,14.0,,2.0,4.0,,,3.0,1.0,15.0,7.0,10.0,,2.0,7.0,1.0,1.0,101
2021-09-29,CSUN Matadors,CSU Bakersfield,Home,Loss,3,4,,3.0,1.0,21.0,9.0,14.0,1.0,1.0,4.0,,,4.0,4.0,6.0,5.0,5.0,,1.0,3.0,,,101
2021-10-03,CSUN Matadors,Cal Poly,Away,Loss,0,1,,,,10.0,4.0,11.0,,3.0,6.0,,,1.0,1.0,6.0,2.0,14.0,,2.0,1.0,,,101
2021-10-06,CSUN Matadors,Sacramento St.,Home,Draw,2,2,2,2.0,3.0,13.0,6.0,16.0,,1.0,1.0,,,2.0,2.0,20.0,10.0,22.0,,3.0,10.0,,,101
2021-10-09,CSUN Matadors,UC San Diego,Home,Win,1,0,,1.0,2.0,9.0,4.0,15.0,,4.0,1.0,,,,,8.0,4.0,13.0,,1.0,3.0,,,101
2021-10-13,CSUN Matadors,UC Riverside,Away,Loss,0,1,,,,16.0,2.0,14.0,,1.0,9.0,,,1.0,2.0,9.0,3.0,10.0,,3.0,2.0,,,101
2021-10-17,CSUN Matadors,UC Davis,Away,Loss,0,5,,,,4.0,,16.0,1.0,2.0,4.0,,,5.0,5.0,15.0,10.0,12.0,,,5.0,,,101
2021-10-20,CSUN Matadors,Cal St. Fullerton,Home,Win,2,1,,2.0,3.0,7.0,5.0,12.0,,2.0,3.0,,,1.0,,19.0,4.0,10.0,,,6.0,1.0,1.0,101
2021-10-23,CSUN Matadors,UC Irvine,Away,Loss,1,2,,1.0,1.0,10.0,3.0,16.0,1.0,5.0,4.0,,,2.0,2.0,20.0,8.0,4.0,,2.0,5.0,,,101
2021-10-30,CSUN Matadors,UC Santa Barbara,Home,Win,2,0,,2.0,3.0,14.0,8.0,18.0,,5.0,2.0,,,,,10.0,5.0,17.0,,2.0,9.0,,,101
2021-08-27,Cal Poly Mustangs,Santa Clara,Away,Loss,0,1,,,,6.0,2.0,13.0,1.0,3.0,2.0,,,1.0,,15.0,6.0,17.0,,,5.0,1.0,1.0,90
2021-08-30,Cal Poly Mustangs,Saint Mary's (CA),Away,Win,2,1,,2.0,2.0,8.0,5.0,19.0,,2.0,5.0,,,1.0,1.0,11.0,5.0,13.0,,2.0,4.0,,,90
2021-09-03,Cal Poly Mustangs,San Diego St.,Home,Draw,1,1,2,1.0,1.0,12.0,6.0,16.0,,1.0,3.0,,,1.0,2.0,7.0,3.0,15.0,,,4.0,,,90
2021-09-06,Cal Poly Mustangs,San Francisco,Home,Win,3,0,,3.0,3.0,11.0,5.0,16.0,,1.0,3.0,1.0,1.0,,,10.0,3.0,13.0,,,4.0,,,90
2021-09-16,Cal Poly Mustangs,Grand Canyon,Home,Loss,2,3,1,2.0,2.0,12.0,6.0,15.0,,4.0,4.0,,,3.0,2.0,15.0,4.0,9.0,,2.0,4.0,,,90
2021-09-20,Cal Poly Mustangs,LMU (CA),Away,Loss,0,1,,,,9.0,3.0,12.0,,2.0,3.0,,,1.0,2.0,14.0,2.0,13.0,,1.0,5.0,,,90
2021-09-25,Cal Poly Mustangs,UC Santa Barbara,Away,Loss,0,2,,,,5.0,3.0,13.0,,4.0,4.0,,,2.0,4.0,14.0,4.0,10.0,,1.0,6.0,,,90
2021-09-29,Cal Poly Mustangs,Sacramento St.,Away,Draw,1,1,2,1.0,2.0,9.0,5.0,21.0,,3.0,7.0,,,1.0,1.0,6.0,3.0,22.0,1.0,5.0,5.0,,,90
2021-10-03,Cal Poly Mustangs,CSUN,Home,Win,1,0,,1.0,1.0,6.0,2.0,14.0,,2.0,1.0,,,,,10.0,4.0,11.0,,3.0,6.0,,,90
2021-10-06,Cal Poly Mustangs,UC San Diego,Home,Win,1,0,,1.0,2.0,9.0,2.0,13.0,,1.0,5.0,,,,,8.0,1.0,7.0,,,4.0,,,90
2021-10-09,Cal Poly Mustangs,UC Irvine,Away,Loss,0,1,,,,5.0,1.0,14.0,,1.0,2.0,,,1.0,1.0,12.0,3.0,8.0,1.0,1.0,3.0,,,90
2021-10-13,Cal Poly Mustangs,Cal St. Fullerton,Home,Win,2,0,,2.0,1.0,7.0,3.0,12.0,,1.0,2.0,,,,,14.0,2.0,15.0,,2.0,9.0,,,90
2021-10-16,Cal Poly Mustangs,UC Santa Barbara,Home,Draw,0,0,2,,,10.0,2.0,15.0,,1.0,4.0,,,,,10.0,3.0,13.0,,1.0,10.0,,,90
2021-10-20,Cal Poly Mustangs,UC Riverside,Away,Draw,1,1,2,1.0,1.0,9.0,5.0,21.0,,5.0,2.0,,,1.0,1.0,16.0,7.0,14.0,,3.0,11.0,,,90
2021-10-24,Cal Poly Mustangs,UC Davis,Home,Win,3,2,,3.0,4.0,7.0,4.0,16.0,,1.0,6.0,,,2.0,4.0,11.0,6.0,17.0,,1.0,6.0,,,90
2021-10-30,Cal Poly Mustangs,CSU Bakersfield,Away,Win,2,0,,2.0,2.0,12.0,6.0,17.0,1.0,3.0,2.0,,,,,11.0,3.0,13.0,,3.0,7.0,,,90
2021-11-03,Cal Poly Mustangs,UC Riverside,Home,Loss,0,1,,,,6.0,,13.0,,2.0,5.0,,1.0,1.0,,10.0,5.0,15.0,,1.0,4.0,,1.0,90
2021-08-26,Cal St. Fullerton Titans,Seattle U,Away,Loss,0,1,,,,6.0,2.0,10.0,,2.0,1.0,,,1.0,,16.0,8.0,10.0,,3.0,3.0,,,97
2021-08-29,Cal St. Fullerton Titans,Washington,Away,Loss,0,4,,,,5.0,1.0,11.0,1.0,3.0,,,,4.0,3.0,24.0,10.0,7.0,,1.0,7.0,,,97
2021-09-03,Cal St. Fullerton Titans,LMU (CA),Home,Loss,1,2,1,1.0,1.0,9.0,5.0,19.0,1.0,3.0,4.0,,,2.0,1.0,20.0,7.0,11.0,,1.0,7.0,1.0,1.0,97
2021-09-10,Cal St. Fullerton Titans,Air Force,Away,Draw,3,3,2,3.0,,19.0,12.0,12.0,1.0,3.0,7.0,2.0,2.0,3.0,4.0,25.0,13.0,12.0,,4.0,6.0,,,97
2021-09-12,Cal St. Fullerton Titans,Denver,Away,Loss,1,2,,1.0,,12.0,4.0,10.0,,2.0,3.0,,,2.0,1.0,16.0,7.0,7.0,,,6.0,,,97
2021-09-17,Cal St. Fullerton Titans,San Francisco,Home,Win,1,0,,1.0,,21.0,6.0,5.0,,,7.0,1.0,2.0,,,7.0,3.0,12.0,1.0,1.0,2.0,,,97
2021-09-19,Cal St. Fullerton Titans,San Diego,Home,Win,3,1,,3.0,3.0,12.0,5.0,14.0,,3.0,4.0,,,1.0,,13.0,2.0,11.0,,2.0,7.0,,,97
2021-09-24,Cal St. Fullerton Titans,Santa Clara,Home,Draw,1,1,2,1.0,1.0,11.0,7.0,15.0,,4.0,1.0,,,1.0,2.0,17.0,5.0,14.0,1.0,2.0,8.0,,,97
2021-09-29,Cal St. Fullerton Titans,UC Santa Barbara,Home,Loss,2,4,,2.0,1.0,10.0,2.0,8.0,,1.0,5.0,,,4.0,7.0,21.0,10.0,9.0,,1.0,11.0,,,97
2021-10-02,Cal St. Fullerton Titans,UC San Diego,Away,Loss,1,3,,1.0,1.0,17.0,7.0,10.0,,2.0,3.0,,,3.0,2.0,13.0,7.0,9.0,,1.0,2.0,,,97
2021-10-06,Cal St. Fullerton Titans,CSU Bakersfield,Away,Loss,0,1,,,,21.0,7.0,13.0,,,3.0,,,1.0,,13.0,6.0,13.0,,1.0,3.0,1.0,1.0,97
2021-10-09,Cal St. Fullerton Titans,UC Davis,Home,Win,1,0,,1.0,,12.0,6.0,12.0,,3.0,6.0,1.0,1.0,,,19.0,6.0,11.0,,,2.0,,,97
2021-10-13,Cal St. Fullerton Titans,Cal Poly,Away,Loss,0,2,,,,14.0,2.0,15.0,,2.0,9.0,,,2.0,1.0,7.0,3.0,12.0,,1.0,2.0,,,97
2021-10-16,Cal St. Fullerton Titans,UC Riverside,Home,Draw,1,1,2,1.0,1.0,13.0,4.0,16.0,,1.0,2.0,,,1.0,1.0,11.0,2.0,9.0,,1.0,6.0,,,97
2021-10-20,Cal St. Fullerton Titans,CSUN,Away,Loss,1,2,,1.0,,19.0,4.0,10.0,,,6.0,1.0,1.0,2.0,3.0,7.0,5.0,12.0,,2.0,3.0,,,97
2021-10-23,Cal St. Fullerton Titans,Sacramento St.,Away,Loss,1,3,,1.0,1.0,14.0,4.0,14.0,1.0,3.0,8.0,,,3.0,4.0,14.0,7.0,16.0,,,9.0,1.0,1.0,97
2021-10-30,Cal St. Fullerton Titans,UC Irvine,Home,Loss,0,1,,,,10.0,6.0,16.0,,2.0,2.0,,1.0,1.0,,13.0,3.0,12.0,,1.0,8.0,,,97
2021-08-26,California Golden Bears,Saint Mary's (CA),Away,Loss,0,1,,,,9.0,4.0,16.0,,,2.0,,,1.0,2.0,12.0,7.0,6.0,,1.0,8.0,,,107
2021-08-29,California Golden Bears,UC Santa Barbara,Away,Draw,1,1,2,1.0,1.0,8.0,6.0,11.0,,1.0,4.0,,,1.0,1.0,19.0,3.0,15.0,,3.0,5.0,,,107
2021-09-03,California Golden Bears,Utah Tech,Home,Win,2,0,,2.0,3.0,9.0,5.0,12.0,,3.0,4.0,,,,,10.0,2.0,11.0,,2.0,1.0,,,107
2021-09-05,California Golden Bears,UNLV,Home,Win,4,3,,4.0,3.0,12.0,7.0,13.0,,,1.0,,,3.0,3.0,12.0,7.0,10.0,,,2.0,,,107
2021-09-09,California Golden Bears,Pacific,Home,Loss,1,2,,1.0,1.0,9.0,2.0,11.0,,2.0,3.0,,,2.0,,12.0,6.0,12.0,,1.0,3.0,1.0,1.0,107
2021-09-16,California Golden Bears,San Diego St.,Away,Loss,0,2,,,,8.0,2.0,11.0,,1.0,3.0,,,2.0,1.0,11.0,5.0,16.0,,1.0,9.0,,,107
2021-09-19,California Golden Bears,UCLA,Away,Loss,1,2,,1.0,1.0,4.0,2.0,8.0,,2.0,2.0,,,2.0,3.0,15.0,7.0,11.0,,1.0,6.0,,,107
2021-09-24,California Golden Bears,LMU (CA),Home,Loss,0,1,,,,7.0,2.0,9.0,,1.0,1.0,,,1.0,2.0,18.0,3.0,9.0,,2.0,10.0,,,107
2021-10-03,California Golden Bears,Stanford,Away,Loss,0,5,,,,8.0,5.0,9.0,,1.0,3.0,,1.0,5.0,9.0,21.0,10.0,15.0,,2.0,3.0,,,107
2021-10-07,California Golden Bears,Oregon St.,Home,Loss,0,1,,,,3.0,1.0,8.0,,2.0,3.0,,,1.0,1.0,20.0,8.0,8.0,,,8.0,,,107
2021-10-10,California Golden Bears,Washington,Home,Loss,0,4,,,,11.0,1.0,11.0,,1.0,1.0,,,4.0,1.0,13.0,5.0,9.0,,,5.0,,,107
2021-10-16,California Golden Bears,Santa Clara,Away,Draw,3,3,2,3.0,3.0,20.0,6.0,11.0,,1.0,6.0,,,3.0,3.0,22.0,12.0,12.0,,1.0,5.0,,,107
2021-10-21,California Golden Bears,UCLA,Home,Win,2,1,,2.0,1.0,8.0,5.0,8.0,,2.0,2.0,,,1.0,,11.0,1.0,9.0,,1.0,7.0,,,107
2021-10-31,California Golden Bears,Oregon St.,Away,Loss,0,2,,,,9.0,4.0,9.0,,,3.0,,1.0,2.0,1.0,18.0,6.0,7.0,,3.0,6.0,,,107
2021-11-11,California Golden Bears,Stanford,Home,Draw,1,1,2,1.0,2.0,10.0,3.0,11.0,,1.0,5.0,,,1.0,2.0,29.0,9.0,13.0,,,12.0,,,107
2021-08-29,California Baptist Lancers,Utah Tech,Away,Win,2,0,,2.0,2.0,7.0,4.0,9.0,,3.0,2.0,,,,,10.0,8.0,12.0,,1.0,3.0,,,30135
2021-09-02,California Baptist Lancers,CSU Bakersfield,Away,Draw,1,1,2,1.0,1.0,15.0,4.0,13.0,1.0,2.0,3.0,,,1.0,1.0,17.0,3.0,19.0,,2.0,8.0,,,30135
2021-09-06,California Baptist Lancers,San Diego,Home,Win,2,1,,2.0,1.0,18.0,8.0,6.0,,1.0,7.0,,,1.0,1.0,5.0,2.0,10.0,,2.0,6.0,,,30135
2021-09-09,California Baptist Lancers,UC Riverside,Away,Win,2,1,1,2.0,1.0,9.0,6.0,7.0,,5.0,5.0,,,1.0,2.0,10.0,3.0,9.0,,5.0,11.0,,,30135
